auto_braking,make,model,warning,year
Not available,Mercedes-Benz,CLK class convertible,Not available,2007
Not available,Mercedes-Benz,CLS class 4dr,Optional,2007
Not available,Mercedes-Benz,E class 4dr,Optional,2007
Not available,Mercedes-Benz,E class 4dr 4WD,Not available,2007
Not available,Mercedes-Benz,E class station wagon,Optional,2007
Not available,Mercedes-Benz,E class station wagon 4WD,Not available,2007
Not available,Mercedes-Benz,GL class 4dr 4WD,Optional,2007
Not available,Mercedes-Benz,M class 4dr 4WD,Optional,2007
Not available,Mercedes-Benz,R class 4dr 4WD,Optional,2007
Optional,Mercedes-Benz,S class 4dr,Optional,2007
Optional,Mercedes-Benz,S class 4dr 4WD,Optional,2007
Not available,Mercedes-Benz,SL class convertible,Optional,2007
Not available,Volkswagen,Eos convertible,Not available,2007
Not available,Volkswagen,Passat 4dr,Not available,2007
Not available,Volkswagen,Passat 4dr 4WD,Not available,2007
Not available,Volkswagen,Passat station wagon,Not available,2007
Not available,Volkswagen,Passat station wagon 4WD,Not available,2007
Not available,Volkswagen,Touareg 4dr 4WD,Not available,2007
Not available,Volvo,S60 4dr,Not available,2007
Not available,Volvo,S60 4dr 4WD,Not available,2007
Not available,Volvo,S60 R 4dr 4WD,Not available,2007
Not available,Volvo,S80 4dr,Optional,2007
Not available,Volvo,S80 4dr 4WD,Optional,2007
Not available,Volvo,V70 R station wagon 4WD,Not available,2007
Not available,Volvo,V70 station wagon,Not available,2007
Not available,Volvo,XC70 station wagon 4WD,Not available,2007
Not available,Volvo,XC90 4dr,Not available,2007
Not available,Volvo,XC90 4dr 4WD,Not available,2007
Optional,Acura,RL 4dr 4WD,Optional,2008
Not available,Audi,A3 station wagon,Not available,2008
Not available,Audi,A3 station wagon 4WD,Not available,2008
Not available,Audi,A4 4dr,Not available,2008
Not available,Audi,A4 4dr 4WD,Not available,2008
Not available,Audi,A4 Cabriolet convertible,Not available,2008
Not available,Audi,A4 Cabriolet convertible 4WD,Not available,2008
Not available,Audi,A4 station wagon 4WD,Not available,2008
Not available,Audi,A5 2dr 4WD,Not available,2008
Not available,Audi,A6 4dr,Optional,2008
Not available,Audi,A6 4dr 4WD,Optional,2008
Not available,Audi,A6 station wagon 4WD,Optional,2008
Not available,Audi,A8 4dr 4WD,Not available,2008
Not available,Audi,A8L 4dr 4WD,Not available,2008
Not available,Audi,Q7 4dr 4WD,Optional,2008
Not available,Audi,RS4 4dr 4WD,Not available,2008
Not available,Audi,RS4 convertible 4WD,Not available,2008
Not available,Audi,S4 4dr 4WD,Not available,2008
Not available,Audi,S4 Cabriolet convertible 4WD,Not available,2008
Not available,Audi,S4 station wagon 4WD,Not available,2008
Not available,Audi,S5 2dr 4WD,Not available,2008
Not available,Audi,S6 4dr 4WD,Optional,2008
Not available,Audi,S8 4dr 4WD,Not available,2008
Not available,Audi,TT 2dr 4WD,Not available,2008
Not available,Audi,TT convertible 4WD,Not available,2008
Not available,Audi,TT Coupe,Not available,2008
Not available,Audi,TT Roadster convertible,Not available,2008
Not available,BMW,128i 2dr,Not available,2008
Not available,BMW,128i convertible,Not available,2008
Not available,BMW,135i 2dr,Not available,2008
Not available,BMW,135i convertible,Not available,2008
Not available,BMW,328i 2dr,Not available,2008
Not available,BMW,328i 4dr,Not available,2008
Not available,BMW,328i convertible,Not available,2008
Not available,BMW,328i station wagon,Not available,2008
Not available,BMW,328xi 2dr 4WD,Not available,2008
Not available,BMW,328xi 4dr 4WD,Not available,2008
Not available,BMW,328xi station wagon 4WD,Not available,2008
Not available,BMW,335i 2dr,Not available,2008
Not available,BMW,335i 4dr,Not available,2008
Not available,BMW,335i convertible,Not available,2008
Not available,BMW,335xi 2dr 4WD,Not available,2008
Not available,BMW,335xi 4dr 4WD,Not available,2008
Not available,BMW,528i 4dr,Not available,2008
Not available,BMW,528xi 4dr 4WD,Not available,2008
Not available,BMW,535i 4dr,Not available,2008
Not available,BMW,535xi 4dr 4WD,Not available,2008
Not available,BMW,535xi station wagon 4WD,Not available,2008
Not available,BMW,550i 4dr,Not available,2008
Not available,BMW,650i 2dr,Not available,2008
Not available,BMW,650i convertible,Not available,2008
Not available,BMW,750i 4dr,Not available,2008
Not available,BMW,750li 4dr,Not available,2008
Not available,BMW,760li 4dr,Not available,2008
Not available,BMW,M3 2dr,Not available,2008
Not available,BMW,M3 4dr,Not available,2008
Not available,BMW,M3 convertible,Not available,2008
Not available,BMW,M5 4dr,Not available,2008
Not available,BMW,M6 2dr,Not available,2008
Not available,BMW,M6 convertible,Not available,2008
Not available,BMW,X3 4dr 4WD,Not available,2008
Not available,BMW,X5 4dr 4WD,Not available,2008
Not available,BMW,X6 4dr 4WD,Not available,2008
Not available,Buick,Enclave 4dr,Not available,2008
Not available,Buick,Enclave 4dr 4WD,Not available,2008
Not available,Buick,Lucerne 4dr,Not available,2008
Not available,Cadillac,CTS 4dr 2WD/4WD,Not available,2008
Not available,Cadillac,DTS 4dr,Not available,2008
Not available,Cadillac,STS V6 4dr,Not available,2008
Not available,Cadillac,STS V8 4dr,Not available,2008
Not available,Cadillac,STS-V 4dr,Not available,2008
Not available,Cadillac,XLR convertible,Not available,2008
Not available,Cadillac,XLR-V convertible,Not available,2008
Not available,Infiniti,EX35 4dr,Not available,2008
Not available,Infiniti,EX35 4dr 4WD,Not available,2008
Not available,Infiniti,FX35 4dr,Not available,2008
Not available,Infiniti,FX35 4dr 4WD,Not available,2008
Not available,Infiniti,FX45 4dr 4WD,Not available,2008
Not available,Infiniti,G35 4dr,Not available,2008
Not available,Infiniti,G35 4dr 4WD,Not available,2008
Not available,Infiniti,G37 2dr,Not available,2008
Not available,Infiniti,M35 4dr,Not available,2008
Not available,Infiniti,M35 4dr 4WD,Not available,2008
Not available,Infiniti,M45 4dr,Not available,2008
Not available,Infiniti,M45 4dr 4WD,Not available,2008
Not available,Jaguar,S-type 4dr,Optional,2008
Not available,Jaguar,Super V8 4dr LWB,Standard,2008
Not available,Jaguar,XJR 4dr SWB,Standard,2008
Not available,Jaguar,XK 2dr,Optional,2008
Not available,Jaguar,XK convertible,Optional,2008
Not available,Jaguar,XKR 2dr,Optional,2008
Not available,Jaguar,XKR convertible,Optional,2008
Not available,Land Rover,LR2 4dr 4WD,Not available,2008
Not available,Land Rover,LR3 4dr 4WD,Not available,2008
Not available,Land Rover,Range Rover 4dr 4WD,Not available,2008
Not available,Land Rover,Range Rover Sport 4dr 4WD,Optional,2008
Not available,Lexus,ES 350 4dr,Not available,2008
Not available,Lexus,GS 350 4dr,Optional,2008
Not available,Lexus,GS 350 4dr 4WD,Optional,2008
Not available,Lexus,GS 450h hybrid 4dr,Optional,2008
Not available,Lexus,GS 460 4dr,Optional,2008
Not available,Lexus,IS 250 4dr,Not available,2008
Not available,Lexus,IS 250 4dr 4WD,Not available,2008
Not available,Lexus,IS 350 4dr,Not available,2008
Not available,Lexus,IS-F 4dr,Optional,2008
Not available,Lexus,LS 460 4dr,Optional,2008
Not available,Lexus,LS 460 L 4dr,Optional,2008
Optional,Lexus,LS 600h hybrid 4dr LWB 4WD,Optional,2008
Not available,Lexus,LX 570 4dr 4WD,Optional,2008
Not available,Lexus,RX 350 4dr,Not available,2008
Not available,Lexus,RX 350 4dr 4WD,Not available,2008
Not available,Lexus,RX 400h hybrid 4dr,Not available,2008
Not available,Lexus,RX 400h hybrid 4dr 4WD,Not available,2008
Not available,Lexus,SC 430 convertible,Not available,2008
Not available,Lincoln,MKX 4dr,Not available,2008
Not available,Lincoln,MKX 4dr 4WD,Not available,2008
Not available,Maserati,Granturismo 2dr,Not available,2008
Not available,Maybach,57 4dr,Standard,2008
Not available,Maybach,62 4dr,Standard,2008
Not available,Mazda,CX-9 4dr,Not available,2008
Not available,Mazda,CX-9 4dr 4WD,Not available,2008
Optional,Mercedes-Benz,CL class 2dr,Optional,2008
Not available,Mercedes-Benz,CLK class 2dr,Not available,2008
Not available,Mercedes-Benz,CLK class convertible,Not available,2008
Not available,Mercedes-Benz,CLS class 4dr,Optional,2008
Not available,Mercedes-Benz,E class 4dr,Optional,2008
Not available,Mercedes-Benz,E class 4dr 4WD,Not available,2008
Not available,Mercedes-Benz,E class station wagon,Optional,2008
Not available,Mercedes-Benz,E class station wagon 4WD,Not available,2008
Not available,Mercedes-Benz,GL class 4dr 4WD,Optional,2008
Not available,Mercedes-Benz,M class 4dr 4WD,Optional,2008
Not available,Mercedes-Benz,R class 4dr,Optional,2008
Not available,Mercedes-Benz,R class 4dr 4WD,Optional,2008
Optional,Mercedes-Benz,S class 4dr,Optional,2008
Optional,Mercedes-Benz,S class 4dr 4WD,Optional,2008
Not available,Mercedes-Benz,SL class convertible,Optional,2008
Not available,Porsche,Cayenne 4dr 4WD,Not available,2008
Not available,Saab,9-3 4dr,Not available,2008
Not available,Saab,9-3 4dr 4WD,Not available,2008
Not available,Saab,9-3 convertible,Not available,2008
Not available,Saab,9-3 station wagon,Not available,2008
Not available,Saab,9-3 station wagon 4WD,Not available,2008
Not available,Volkswagen,Eos convertible,Not available,2008
Not available,Volkswagen,Passat 4dr,Not available,2008
Not available,Volkswagen,Passat 4dr 4WD,Not available,2008
Not available,Volkswagen,Passat station wagon 4WD,Not available,2008
Not available,Volkswagen,Touareg 4dr 4WD,Not available,2008
Not available,Volvo,C30 2dr,Not available,2008
Not available,Volvo,C70 convertible,Not available,2008
Not available,Volvo,S40 4dr,Not available,2008
Not available,Volvo,S40 4dr 4WD,Not available,2008
Not available,Volvo,S60 4dr,Not available,2008
Not available,Volvo,S60 4dr 4WD,Not available,2008
Optional,Volvo,S80 4dr,Optional,2008
Optional,Volvo,S80 4dr 4WD,Optional,2008
Not available,Volvo,V50 station wagon,Not available,2008
Not available,Volvo,V50 station wagon 4WD,Not available,2008
Optional,Volvo,V70 station wagon,Optional,2008
Optional,Volvo,XC70 station wagon 4WD,Optional,2008
Not available,Volvo,XC90 4dr,Not available,2008
Not available,Volvo,XC90 4dr 4WD,Not available,2008
Optional,Acura,RL 4dr 4WD,Optional,2009
Not available,Audi,A4 4dr,Not available,2009
Not available,Audi,A4 4dr 4WD,Optional,2009
Not available,Audi,A4 Cabriolet convertible,Not available,2009
Not available,Audi,A4 Cabriolet convertible 4WD,Not available,2009
Not available,Audi,A4 station wagon 4WD,Optional,2009
Not available,Audi,A5 2dr 4WD,Optional,2009
Not available,Audi,A6 4dr,Not available,2009
Not available,Audi,A6 4dr 4WD,Not available,2009
Not available,Audi,A6 station wagon 4WD,Not available,2009
Not available,Audi,A8 4dr 4WD,Not available,2009
Not available,Audi,A8L 4dr 4WD,Not available,2009
Not available,Audi,Q5 4dr 4WD,Not available,2009
Not available,Audi,Q7 4dr 4WD,Optional,2009
Not available,Audi,S4 Cabriolet convertible 4WD,Not available,2009
Not available,Audi,S5 2dr 4WD,Optional,2009
Not available,Audi,S6 4dr 4WD,Not available,2009
Not available,Audi,S8 4dr 4WD,Not available,2009
Not available,Audi,TT 2dr 4WD,Not available,2009
Not available,Audi,TT convertible 4WD,Not available,2009
Not available,Audi,TT Coupe,Not available,2009
Not available,Audi,TT Roadster convertible,Not available,2009
Not available,BMW,128i 2dr,Not available,2009
Not available,BMW,128i convertible,Not available,2009
Not available,BMW,135i 2dr,Not available,2009
Not available,BMW,135i convertible,Not available,2009
Not available,BMW,328i 2dr,Not available,2009
Not available,BMW,328i 4dr,Not available,2009
Not available,BMW,328i convertible,Not available,2009
Not available,BMW,328i station wagon,Not available,2009
Not available,BMW,328xi 2dr 4WD,Not available,2009
Not available,BMW,328xi 4dr 4WD,Not available,2009
Not available,BMW,328xi station wagon 4WD,Not available,2009
Not available,BMW,335d 4dr,Not available,2009
Not available,BMW,335i 2dr,Not available,2009
Not available,BMW,335i 4dr,Not available,2009
Not available,BMW,335i convertible,Not available,2009
Not available,BMW,335xi 2dr 4WD,Not available,2009
Not available,BMW,335xi 4dr 4WD,Not available,2009
Not available,BMW,528i 4dr,Not available,2009
Not available,BMW,528xi 4dr 4WD,Not available,2009
Not available,BMW,535i 4dr,Not available,2009
Not available,BMW,535xi 4dr 4WD,Not available,2009
Not available,BMW,535xi station wagon 4WD,Not available,2009
Not available,BMW,550i 4dr,Not available,2009
Not available,BMW,650i 2dr,Not available,2009
Not available,BMW,650i convertible,Not available,2009
Not available,BMW,750i 4dr,Optional,2009
Not available,BMW,750li 4dr,Optional,2009
Not available,BMW,M3 2dr,Not available,2009
Not available,BMW,M3 4dr,Not available,2009
Not available,BMW,M3 convertible,Not available,2009
Not available,BMW,M5 4dr,Not available,2009
Not available,BMW,M6 2dr,Not available,2009
Not available,BMW,M6 convertible,Not available,2009
